sale_id,customer_id,model,model_variant,cartype,fuel_variant,region,city,sale_date,sale_amount
SALE0001,CUST029,Jeep Compass,Base,MPV,Electric,West,Kolkata,2024-07-13,1353504.81
SALE0002,CUST174,Kia Seltos,Base,Convertible,CNG,North,Mumbai,2023-04-21,1105954.3
SALE0003,CUST130,Mahindra XUV700,Base,Convertible,Diesel,Central,Kolkata,2023-10-21,3025728.85
SALE0004,CUST002,Toyota Fortuner,Mid,MPV,CNG,South-West,Ahmedabad,2023-09-13,1439589.3
SALE0005,CUST087,Ford EcoSport,Base,SUV,CNG,South,Bhopal,2024-09-22,5176469.58
SALE0006,CUST068,MG Hector,Base,MPV,CNG,South,Indore,2024-08-09,1025521.07
SALE0007,CUST161,Toyota Fortuner,Top,Convertible,Diesel,South,Delhi,2025-01-14,4170821.92
SALE0008,CUST075,Ford EcoSport,Base,Sedan,Petrol,Central,Ahmedabad,2023-06-05,3048415.63
SALE0009,CUST094,Hyundai Verna,Mid,Coupe,Electric,West,Ahmedabad,2024-02-05,4389829.69
SALE0010,CUST166,Jeep Compass,Base,Convertible,Diesel,West,Pune,2023-04-24,3096205.14
SALE0011,CUST164,Toyota Fortuner,Mid,MPV,Electric,North,Kolkata,2023-09-09,5037734.01
SALE0012,CUST081,Ford EcoSport,Second-Top,Coupe,Petrol,West,Lucknow,2024-04-06,1748183.34
SALE0013,CUST102,Skoda Kushaq,Second-Top,Sedan,Electric,East,Kolkata,2023-04-22,4622940.5
SALE0014,CUST068,Volkswagen Virtus,Second-Top,Convertible,CNG,South-West,Kolkata,2023-08-26,5985559.2
SALE0015,CUST131,Hyundai Creta,Second-Top,SUV,Petrol,South,Hyderabad,2024-07-21,3988208.63
SALE0016,CUST175,Ford EcoSport,Second-Top,Convertible,Petrol,Central,Indore,2024-05-05,3817797.51
SALE0017,CUST136,Skoda Kushaq,Top,Convertible,Petrol,South,Ahmedabad,2023-09-11,4750433.16
SALE0018,CUST029,Maruti Suzuki Brezza,Top,Hatchback,Diesel,North-West,Mumbai,2024-06-06,5750606.01
SALE0019,CUST068,Renault Duster,Mid,Convertible,Petrol,North-East,Jaipur,2024-11-14,1425332.05
SALE0020,CUST042,Ford EcoSport,Base,Convertible,Electric,North-West,Mumbai,2023-04-07,1204085.72
SALE0021,CUST079,Maruti Suzuki Brezza,Mid,SUV,Diesel,South,Bangalore,2024-11-12,4552301.01
SALE0022,CUST018,Hyundai Verna,Mid,Sedan,CNG,East,Ahmedabad,2024-08-25,3449438.45
SALE0023,CUST109,MG Hector,Mid,Convertible,Diesel,North-East,Indore,2023-12-07,5973806.53
SALE0024,CUST096,Jeep Compass,Second-Top,Convertible,CNG,South,Kolkata,2023-07-25,1813365.62
