campaign_id,name,start_date,end_date,target_segment,budget,channel,area_type
HC001,Wellness Drive,2025-02-11,2025-02-19,Elderly,3247,"Flyers, Email",Semi-Urban
HC002,Vaccination Week,2025-03-22,2025-04-15,Children,31131,Community Events,Rural
HC003,Stay Healthy Campaign,2024-11-12,2024-12-04,Children,15457,Social Media,Rural
HC004,Hypertension Awareness,2024-03-07,2024-03-14,Pregnant Women,2120,Social Media,Urban
HC005,Elderly Care Awareness,2024-01-26,2024-02-18,Adults,25265,TV & Radio,Semi-Urban
HC006,Child Nutrition Campaign,2024-09-27,2024-10-17,General Public,21937,"Flyers, Email",Rural
HC007,Health Awareness Drive,2024-03-29,2024-04-03,General Public,32933,Hospitals & Clinics,Semi-Urban
HC008,Diabetes Prevention Camp,2024-04-25,2024-05-12,Adults,30235,Community Events,Semi-Urban
HC009,Hypertension Awareness,2024-10-10,2024-11-02,General Public,41652,Social Media,Urban
HC010,Hypertension Awareness,2024-09-02,2024-09-19,Elderly,46134,Social Media,Rural
HC011,Health Awareness Drive,2024-07-31,2024-08-10,Children,29195,Social Media,Urban
HC012,Child Nutrition Campaign,2024-08-06,2024-08-21,General Public,26145,Social Media,Semi-Urban
HC013,Immunization Program,2024-08-06,2024-08-24,Elderly,2048,Community Events,Rural
HC014,Mental Wellness Month,2024-09-18,2024-10-01,Pregnant Women,44958,Hospitals & Clinics,Semi-Urban
HC015,Diabetes Prevention Camp,2024-04-11,2024-05-10,Adults,11918,Community Events,Semi-Urban
HC016,Free Check-up Week,2024-11-21,2024-12-09,Adults,20365,Social Media,Urban
HC017,Free Check-up Week,2024-09-21,2024-10-14,Pregnant Women,25569,Community Events,Semi-Urban
HC018,Flu Shot Campaign,2024-10-09,2024-10-22,Adults,48851,Hospitals & Clinics,Rural
HC019,Free Check-up Week,2024-02-28,2024-03-07,Pregnant Women,8782,Hospitals & Clinics,Urban
HC020,Immunization Program,2024-07-06,2024-08-02,Elderly,23578,Hospitals & Clinics,Urban
HC021,Immunization Program,2024-08-11,2024-09-06,Adults,45876,Community Events,Rural
HC022,COVID-19 Vaccination Drive,2024-11-23,2024-12-09,Pregnant Women,15781,Community Events,Urban
